,steps,reward1,reward2,reward3
254,51000.0,3.5000000000000004,13.25,10.0
255,51200.0,7.000000000000001,12.0,10.0
256,51400.0,5.25,10.25,10.0
257,51600.0,5.25,11.5,11.5
258,51800.0,8.75,12.0,10.25
259,52000.0,5.0,12.0,10.25
260,52200.0,8.5,11.5,10.0
261,52400.0,6.75,12.0,11.5
262,52600.0,3.75,12.0,11.5
263,52800.0,1.7500000000000002,13.25,10.0
264,53000.0,1.7500000000000002,10.0,11.75
265,53200.0,1.7500000000000002,8.75,10.0
266,53400.0,3.5000000000000004,11.75,10.0
267,53600.0,5.5,11.75,10.0
268,53800.0,5.5,11.75,8.5
269,54000.0,3.75,10.0,8.75
270,54200.0,3.75,8.75,10.25
271,54400.0,5.5,13.25,11.75
272,54600.0,8.5,12.0,10.25
273,54800.0,3.75,11.5,11.5
274,55000.0,0.75,14.75,11.5
275,55200.0,2.25,11.5,10.0
276,55400.0,3.75,11.5,11.75
277,55600.0,2.0,11.5,10.25
278,55800.0,5.5,13.25,11.5
279,56000.0,5.5,11.75,11.5
280,56200.0,5.0,12.0,11.5
281,56400.0,5.5,13.25,10.0
282,56600.0,5.25,11.75,10.25
283,56800.0,2.0,13.25,11.5
284,57000.0,3.75,11.75,10.0
285,57200.0,8.25,10.25,11.5
286,57400.0,3.5000000000000004,12.0,10.0
287,57600.0,3.75,15.0,10.0
288,57800.0,3.5000000000000004,11.75,10.25
289,58000.0,3.5000000000000004,13.25,10.0
290,58200.0,6.75,12.0,11.75
291,58400.0,5.0,11.5,10.0
292,58600.0,3.5000000000000004,11.5,10.25
293,58800.0,5.25,11.5,11.5
294,59000.0,5.25,8.5,11.75
295,59200.0,5.25,10.25,10.25
296,59400.0,2.25,11.75,10.0
297,59600.0,7.000000000000001,11.75,10.25
298,59800.0,6.75,13.25,11.5
299,60000.0,5.25,13.25,11.75
300,60200.0,5.25,12.0,11.5
301,60400.0,7.000000000000001,13.25,10.25
302,60600.0,5.25,12.0,11.5
303,60800.0,5.25,11.5,8.75
304,61000.0,8.75,12.0,11.5
305,61200.0,3.75,12.0,10.25
306,61400.0,8.75,11.5,10.25
307,61600.0,1.7500000000000002,12.0,10.25
308,61800.0,3.75,13.25,8.75
309,62000.0,8.25,11.5,11.5
310,62200.0,5.25,13.25,10.25
311,62400.0,5.25,11.5,10.0
312,62600.0,8.25,11.5,11.75
313,62800.0,3.5000000000000004,11.75,11.75
314,63000.0,5.0,11.75,8.75
315,63200.0,5.0,12.0,10.25
316,63400.0,5.0,13.5,11.5
317,63600.0,5.25,11.5,11.75
318,63800.0,2.0,11.75,11.5
319,64000.0,6.75,13.5,11.5
320,64200.0,5.0,11.75,10.0
321,64400.0,5.0,10.25,11.5
322,64600.0,3.75,13.25,11.75
323,64800.0,8.75,10.25,10.0
324,65000.0,5.25,13.25,11.5
325,65200.0,3.5000000000000004,12.0,11.5
326,65400.0,3.5000000000000004,11.5,10.25
327,65600.0,5.5,12.0,11.5
328,65800.0,1.7500000000000002,12.0,10.25
329,66000.0,3.5000000000000004,12.0,8.25
330,66200.0,3.5000000000000004,11.75,10.0
331,66400.0,6.75,10.25,10.0
332,66600.0,2.25,13.25,11.5
333,66800.0,6.75,13.25,11.5
334,67000.0,2.25,11.5,11.5
335,67200.0,6.75,11.5,10.0
336,67400.0,2.25,11.5,11.75
337,67600.0,0.75,10.25,11.5
338,67800.0,8.25,10.25,11.75
339,68000.0,5.25,12.0,10.0
340,68200.0,2.0,11.75,10.0
341,68400.0,5.5,12.0,11.75
342,68600.0,3.5000000000000004,11.75,11.5
343,68800.0,6.75,11.5,10.0
344,69000.0,6.75,10.25,11.5
345,69200.0,6.75,13.25,10.25
346,69400.0,8.5,11.5,10.25
347,69600.0,3.75,12.0,10.25
348,69800.0,2.25,11.5,10.25
349,70000.0,5.25,10.25,11.75
350,70200.0,1.7500000000000002,11.75,10.25
351,70400.0,3.5000000000000004,12.0,10.25
352,70600.0,5.5,13.25,11.75
353,70800.0,0.5,11.75,10.0
354,71000.0,2.0,13.25,11.75
355,71200.0,3.5000000000000004,12.0,11.75
356,71400.0,3.75,12.0,10.0
357,71600.0,5.0,12.0,10.0
358,71800.0,2.0,11.75,8.75
359,72000.0,2.25,11.75,11.75
360,72200.0,7.000000000000001,12.0,10.25
361,72400.0,5.25,11.5,11.5
362,72600.0,5.5,10.0,11.75
363,72800.0,5.5,13.25,10.25
364,73000.0,10.25,10.25,10.0
365,73200.0,2.0,12.0,10.0
366,73400.0,2.0,12.0,11.5
367,73600.0,2.25,11.75,10.0
368,73800.0,3.5000000000000004,11.5,10.0
369,74000.0,2.25,10.25,10.25
370,74200.0,1.7500000000000002,11.75,10.25
371,74400.0,5.0,11.5,11.5
372,74600.0,5.0,12.0,11.5
373,74800.0,3.75,12.0,11.5
374,75000.0,2.25,11.75,10.25
375,75200.0,6.75,11.75,10.25
376,75400.0,3.75,11.5,11.5
377,75600.0,5.0,10.0,8.75
378,75800.0,5.5,11.75,8.5
379,76000.0,3.75,13.25,11.5
380,76200.0,5.25,11.5,11.75
381,76400.0,1.7500000000000002,12.0,11.75
382,76600.0,1.7500000000000002,11.5,8.5
383,76800.0,5.5,13.25,8.5
384,77000.0,5.0,12.0,10.0
385,77200.0,5.5,12.0,10.25
386,77400.0,8.5,11.75,10.0
387,77600.0,1.7500000000000002,12.0,10.25
388,77800.0,5.0,12.0,10.25
389,78000.0,5.0,11.5,11.5
390,78200.0,3.5000000000000004,12.0,10.25
391,78400.0,3.5000000000000004,11.5,11.5
392,78600.0,2.25,13.5,11.75
393,78800.0,3.75,12.0,10.25
394,79000.0,1.7500000000000002,11.5,10.25
395,79200.0,2.25,11.5,10.0
396,79400.0,5.0,11.5,11.5
397,79600.0,1.7500000000000002,11.75,10.25
398,79800.0,3.75,11.75,11.5
399,80000.0,8.25,12.0,11.5
400,80200.0,5.25,11.5,10.0
401,80400.0,5.0,11.75,10.25
402,80600.0,6.75,12.0,10.25
403,80800.0,3.5000000000000004,11.75,11.5
404,81000.0,5.0,11.5,11.75
405,81200.0,5.0,12.0,11.75
406,81400.0,3.5000000000000004,11.75,10.0
407,81600.0,5.0,11.5,10.0
408,81800.0,0.25,11.75,10.0
409,82000.0,3.75,11.75,10.25
410,82200.0,5.5,10.25,11.5
411,82400.0,2.0,11.5,8.75
412,82600.0,0.0,11.75,11.75
413,82800.0,5.25,12.0,11.5
414,83000.0,3.5000000000000004,13.5,11.5
415,83200.0,5.25,10.25,11.75
416,83400.0,3.75,11.75,11.5
417,83600.0,5.0,12.0,11.75
418,83800.0,5.25,11.75,10.0
419,84000.0,2.25,13.25,10.0
420,84200.0,2.0,13.25,10.25
421,84400.0,6.75,12.0,11.5
422,84600.0,6.75,10.25,8.25
423,84800.0,2.0,11.5,11.5
424,85000.0,3.5000000000000004,11.5,10.25
425,85200.0,5.0,11.75,8.75
